epoch,train_total_loss,train_bce,train_kld,val_total_loss,val_bce,val_kld
1,0.7244396966237289,0.49218849493907046,0.23225120131750232,0.3690960109233856,0.3664005185876574,0.002695496892556548
2,0.3416306124283717,0.3407384776152097,0.0008921355004601467,0.3170187473297119,0.316349059343338,0.0006696879946892815
3,0.31156393312490904,0.3109031995901695,0.0006607339466707065,0.30750249539102825,0.30686377201761517,0.0006387114491579789
4,0.3052682876586914,0.30466502561019015,0.0006032600560082266,0.30165177157946993,0.30109202436038424,0.0005597457638941705
5,0.3013685907308872,0.3008577605852714,0.000510830384043332,0.29777954731668743,0.2973252705165318,0.00045426638098433614
6,0.2987806464617069,0.2983764765354303,0.0004041695904631454,0.29635108368737356,0.296002664736339,0.00034842343302443624
7,0.2977168009831355,0.2974124757143167,0.0003043273385488786,0.29518250056675505,0.29492259451321196,0.00025990160065703094
8,0.29639883912526643,0.29617418807286483,0.00022465139940882532,0.2944477583680834,0.29425827520234243,0.00018947571723921492
9,0.2970159615461643,0.2968521656898352,0.0001637971777549515,0.2941590803010123,0.294019843850817,0.00013923794904258102
10,0.29574457842570084,0.29562432720110965,0.00012025306093094584,0.2935200589043753,0.2934188204152243,0.00010122657113242894
